,title,year,country,director,image_word,synopsis,score
0,夕陽のあと,2019,日本,越川道夫,"[['切ない'], ['泣ける']]",鹿児島県の長島町を舞台にしたヒューマンドラマ。1年前に島にやってきた女性と里子を育てる女性の人生が、過去の事件をめぐって交錯する。メガホンを取るのは『海辺の生と死』などの越川道夫。『くちづけ』などの貫地谷しほり、越川監督作『アレノ』などの山田真歩、ドラマシリーズ「サラリーマン金太郎」などの永井大のほか、川口覚、松原豊和、木内みどりらが出演。乳児遺棄や不妊治療などの問題を盛り込んでいる。,5.00
1,ドクター・スリープ,2019,アメリカ,マイク・フラナガン,"[['泣ける'], ['不思議'], ['切ない']]",スティーヴン・キングのホラー小説をスタンリー・キューブリック監督がジャック・ニコルソン主演で映画化した『シャイニング』の続編。一家を襲ったホテルでの恐ろしい出来事から40年後、生き延びた息子ダニーが遭遇する新たな恐怖を描く。『ムーラン・ルージュ』などのユアン・マクレガー、『ミッション:インポッシブル』シリーズなどのレベッカ・ファーガソンらが出演。『オキュラス/怨霊鏡』などのマイク・フラナガンがメガホンを取った。,5.00
2,ヴァイオレット・エヴァーガーデン 外伝,2019,日本,藤田春香,"[['泣ける'], ['切ない'], ['ロマンチック']]",2018年に放送され人気を博したアニメ「ヴァイオレット・エヴァーガーデン」の外伝。名門女学園を舞台に、貴族の娘が教育係として現れた元少女兵と奇妙な絆を育む。監督を務めるのはアニメ版のシリーズ演出を務め、『響け!ユーフォニアム』シリーズなどに携ってきた藤田春香。ボイスキャストに石川由依、寿美菜子、悠木碧、子安武人、内山昂輝、遠藤綾らがそろう。,4.58
3,映画 スター☆トゥインクルプリキュア　星のうたに想いをこめて,2019,日本,,"[['泣ける'], ['かわいい'], ['楽しい']]",アニメ『プリキュア』シリーズで、星座をモチーフにした「スター☆トゥインクルプリキュア」の劇場版。プリキュアたちが宇宙人ハンターに立ち向かう。ボイスキャストには成瀬瑛美、小原好美といったレギュラー陣のほか、ゲスト声優として知念里奈が参加すると共に主題歌も担当する。,4.58
4,バック・トゥ・ザ・フューチャー,1985,アメリカ,ロバート・ゼメキス,"[['楽しい'], ['笑える'], ['かっこいい']]",1980年代を代表する大ヒット作であるSFアドベンチャーの傑作。自動車型タイムマシンで1985年から1955年へ時空移動した高校生が、自分と同世代だったころの両親と出会うなどして騒動を巻き起こす。監督は『フォレスト・ガンプ/一期一会』などのロバート・ゼメキス、製作総指揮に巨匠スティーヴン・スピルバーグが名を連ねている。マイケル・J・フォックス、クリストファー・ロイドが高校生と博士を熱演。スリルと興奮と笑いに満ちた展開に加え、名車デロリアンを改造したタイムマシンの鮮烈なデザインも必見。,4.58
5,ターミネーター2,1991,アメリカ,ジェームズ・キャメロン,"[['かっこいい'], ['勇敢'], ['泣ける']]",　前作で結ばれた、サラ・コナーと未来から来たカイル・リースとの間に出来た息子ジョンこそ、未来での機械との戦争で人類を導く指導者だった。そして、機械たちはジョンの暗殺を目論み、再び1994年ロサンゼルスにターミネーターを送り込んでくる。一方、来るべき未来の戦争を知る唯一の人間サラは、狂人扱いされ精神病院へ入れられていた。そんな中、未来から送られてきた2体のターミネーターがジョンに接触する。,4.55
6,冴えない彼女の育てかた Fine,2019,日本,柴田彰久,"[['かわいい'], ['笑える'], ['楽しい']]",丸戸史明(原作)と深崎暮人(イラスト)のライトノベルシリーズを原作にしたアニメの劇場版。主人公が運命を感じた美少女をヒロインにした同人ゲームの制作に挑む。監督はアニメ「毎日かあさん」「PERSONA5 the Animation」などに携ってきた柴田彰久。ボイスキャストは安芸倫也役の松岡禎丞をはじめ、安野希世乃、大西沙織、茅野愛衣らアニメシリーズの面々が続投した。,4.54
7,ボヘミアン・ラプソディ,2018,"イギリス,アメリカ",ブライアン・シンガー,"[['泣ける'], ['かっこいい'], ['切ない']]",「伝説のチャンピオン」「ウィ・ウィル・ロック・ユー」といった数々の名曲で知られるロックバンド、クイーンのボーカル、フレディ・マーキュリーの伝記ドラマ。華々しい軌跡の裏の知られざる真実を映す。『X-MEN』シリーズなどのブライアン・シンガーが監督を務めた。ドラマシリーズ「MR. ROBOT/ミスター・ロボット」などのラミ・マレック、『ジュラシック・パーク』シリーズなどのジョー・マッゼロらが出演。フレディにふんしたラミが熱演を見せる。,4.53
8,ショーシャンクの空に,1994,アメリカ,フランク・ダラボン,"[['泣ける'], ['知的'], ['勇敢']]",　妻とその愛人を射殺したかどでショーシャンク刑務所送りとなった銀行家アンディ。初めは戸惑っていたが、やがて彼は自ら持つ不思議な魅力ですさんだ受刑者達の心を掴んでゆく。そして20年の歳月が流れた時、彼は冤罪を晴らす重要な証拠をつかむのだが……。,4.53
9,Thunderbolt Fantasy　西幽げん歌,2019,"日本,台湾",,"[['かっこいい'], ['ファンタジー'], ['勇敢']]",台湾で国民的な人気の人形劇を、虚淵玄が原案・脚本・総監修を担当して映像化した日本・台湾の合作プロジェクト。唯一無二の歌声を持つ少年の過酷な日々が映し出される。キャラクターボイスに、ソロプロジェクト「T.M.Revolution」としても活動している西川貴教のほか、小西克幸、東山奈央、釘宮理恵、新垣樽助、井上喜久子ら声優陣が集結している。,4.52
10,レオン／完全版,1994,"フランス,アメリカ",リュック・ベッソン,"[['切ない'], ['泣ける'], ['かっこいい']]",22分の未使用シーンを追加収録した、リュック・ベッソンの傑作アクションドラマ。孤独な日々を生きるすご腕の暗殺者レオンと家族を皆殺しにされた少女マチルダの交流や、二人に迫る危機を映す。主演は『バレッツ』などのジャン・レノと『ブラック・スワン』などのナタリー・ポートマン。その脇を『裏切りのサーカス』などのゲイリー・オールドマン、『ドゥ・ザ・ライト・シング』などのダニー・アイエロら実力派が固める。,4.51
11,マイケル・ジャクソン THIS IS IT,2009,アメリカ,ケニー・オルテガ,"[['かっこいい'], ['泣ける'], ['ゴージャス']]", 2009年6月に急逝したマイケル・ジャクソンによって、死の数日前まで行われていたコンサート・リハーサルを収録したドキュメンタリー。何百時間にも及ぶリハーサルを一本の映画にまとめあげたのは、『ハイスクール・ミュージカル/ザ・ムービー』の監督兼振付師で、予定されていたロンドン公演のクリエーティブ・パートナーでもあったケニー・オルテガ。コンサートを創り上げる過程では、偉大なスターであり才能あふれるアーティストでもありながらなおも進化を続けたマイケル・ジャクソンの素顔が垣間見える。,4.51
12,スター・ウォーズ／スカイウォーカーの夜明け,2019,アメリカ,J・J・エイブラムス,[['楽しい']],1977年公開の第1作以来、世界の人々を魅了し続けている超大作シリーズの完結編。レイ、カイロ・レン、レイア・オーガナ、ポー・ダメロンをはじめとするキャラクターたちを待つ運命が、壮大なスケールで描かれる。監督と脚本を担当するのは『スター・ウォーズ/フォースの覚醒』などのJ・J・エイブラムス。デイジー・リドリー、ジョン・ボイエガ、ビリー・ディー・ウィリアムズらが出演する。,4.50
13,ターミネーター2 3D,2017,アメリカ,ジェームズ・キャメロン,"[['かっこいい'], ['泣ける'], ['スペクタクル']]",『タイタニック』などのジェームズ・キャメロン監督の人気シリーズ2作目となるSFアクション大作を3D化。時空を超えて送り込まれた2体のターミネーターが、人類の救世主となる少年をめぐって壮絶なバトルを展開する。アーノルド・シュワルツェネッガー、リンダ・ハミルトン、エドワード・ファーロングらが出演。最新鋭の3D技術でパワーアップしたビジュアルが見どころ。,4.48
14,グリーンブック,2018,アメリカ,ピーター・ファレリー,"[['笑える'], ['泣ける'], ['楽しい']]",黒人ピアニストと彼に雇われた白人の用心棒兼運転手が、黒人用旅行ガイド「グリーンブック」を手に人種差別が残るアメリカ南部を巡る人間ドラマ。『はじまりへの旅』などのヴィゴ・モーテンセンと、『ムーンライト』などのマハーシャラ・アリが共演。『メリーに首ったけ』などのピーター・ファレリーが監督を務めた。アカデミー賞の前哨戦の一つとされるトロント国際映画祭で、最高賞の観客賞を獲得した。,4.48
15,レオン,1994,"フランス,アメリカ",リュック・ベッソン,"[['切ない'], ['泣ける'], ['かっこいい']]",　「ニキータ」のリュック・ベッソンが初めてアメリカで製作したバイオレンス・アクション。ニューヨークを舞台に、凄腕の殺し屋レオンと12歳の少女マチルダの純愛と戦いを描く。大都会の片隅で出会った孤独なふたりの葛藤と壮絶なアクション・シーンがほどよくブレンドされた佳作だが、その功績は朴訥だが頼もしいJ・レノと繊細でいてたくましいN・ポートマンの二人の魅力に負うところが大きい。,4.47
16,ゴッドファーザー,1972,アメリカ,フランシス・フォード・コッポラ,"[['かっこいい'], ['切ない'], ['悲しい']]",　マフィアの世界を克明に描きベストセラーとなったマリオ・プーゾの同名小説をフランシス・コッポラが映画化した一大叙事詩。シシリーからアメリカに移住し、一代で財を成したドン・コルレオーネ。三男のマイケルはひとり堅気な人生を送ろうとしていたが、敵対するファミリーにドンが襲われ重傷を負った時、彼は報復を決意する。そしてニューヨークは抗争の場と化していった……。,4.47
17,牙狼＜GARO＞ －月虹ノ旅人－,2019,日本,雨宮慶太,"[['かっこいい'], ['勇敢'], ['泣ける']]",魔獣“ホラー”を狩る“魔戒騎士”たちの暗闘を描くシリーズで、冴島雷牙を主人公に新たな試練を描いたアクション。仮面の男・白孔の術にかかったマユリのために、雷牙が立ち上がる。原作・脚本・監督は、本シリーズの生みの親である雨宮慶太。ドラマシリーズでも雷牙を演じた中山麻聖をはじめ、マユリ役の石橋菜津美、クロウ役の水石亜飛夢、倉橋ゴンザ役の螢雪次朗らおなじみの面々が共演する。,4.45
18,ターミネーター,1984,アメリカ,ジェームズ・キャメロン,"[['恐怖'], ['勇敢'], ['かっこいい']]",　未来で繰り広げられている人類VS機械の果てしない闘い。機械軍は人類のリーダーであるジョン・コナーを歴史から消すべく1984年のロスへ冷徹無比の殺人機ターミネーターを送り込んだ。目的は、いずれジョンを産むことになるサラ・コナーの抹殺。平凡な女子学生であるサラの前に姿を見せる黒づくめの殺人機。だがその時、彼女を守るために一人の男が現れた。男の名はカイル・リース。ジョン・コナーの命を受け、未来からやって来た戦士であった。,4.44
19,ホテル・ムンバイ,2018,"オーストラリア,アメリカ,インド",アンソニー・マラス,"[['恐怖'], ['絶望的'], ['パニック']]",『LION/ライオン ~25年目のただいま~』などのデヴ・パテルを主演に迎え、2008年にインドのムンバイで起きたテロ事件を題材にしたドラマ。高級ホテルに監禁された宿泊客を救おうと奔走した従業員たちの姿を映し出す。本作で長編デビューしたアンソニー・マラスが監督を務め、『君の名前で僕を呼んで』などのアーミー・ハマーがアメリカ人旅行者を演じた。,4.44
20,銀河英雄伝説　Die Neue These　星乱　第二章,2019,日本,多田俊介,"[['かっこいい'], ['スペクタクル'], ['切ない']]",田中芳樹の小説シリーズを原作にしたアニメの続編として、劇場で上映されるセカンドシーズンの第二章。アニメの第17話から第20話を基に、激化する銀河帝国と自由惑星同盟の対決などが描かれる。監督の多田俊介をはじめとするスタッフ、ラインハルト・フォン・ローエングラム役の宮野真守やヤン・ウェンリー役の鈴村健一といったボイスキャストは、第一章から続投。,4.44
21,新しき世界,2013,韓国,パク・フンジョン,"[['切ない'], ['かっこいい'], ['恐怖']]",本国の韓国をはじめ、映画祭や映画賞で高い評価を獲得したクライムストーリー。犯罪組織に潜入する警察官が、組織のナンバー2と育んだ絆と職務の間で葛藤するさまを映し出していく。メガホンを取るのは、『悪魔を見た』などの脚本も手掛けてきたパク・フンジョン。『10人の泥棒たち』などのイ・ジョンジェ、『悪いやつら』などのチェ・ミンシクなど、実力派俳優が結集する。緊張感にあふれた語り口もさることながら、男たちの情や信念が激しくぶつかり合う熱いドラマにも魅了される。,4.40
22,ダークナイト,2008,アメリカ,クリストファー・ノーラン,"[['かっこいい'], ['不気味'], ['恐怖']]", 映画『バットマン ビギンズ』の続編で、バットマンの最凶最悪の宿敵であるジョーカーの登場で混乱に陥ったゴッサムシティを守るべく、再びバットマンが死闘を繰り広げるアクション大作。監督は前作から続投のクリストファー・ノーラン。またクリスチャン・ベイルも主人公、バットマンを再び演じる。そして敵役のジョーカーを演じるのは2008年1月に亡くなったヒース・レジャー。シリーズで初めてタイトルからバットマンを外し、新たな世界観を広げたダークな展開に目が離せない。,4.39
23,凪待ち,2018,日本,白石和彌,"[['切ない'], ['泣ける'], ['悲しい']]",『凶悪』『彼女がその名を知らない鳥たち』などの白石和彌監督がメガホンを取ったヒューマンドラマ。パートナーの女性の故郷で再出発を図ろうとする主人公を、『こちら葛飾区亀有公園前派出所』シリーズや『クソ野郎と美しき世界』などの香取慎吾が演じる。脚本を『クライマーズ・ハイ』『天地明察』などの加藤正人が担当する。,4.39
24,T-34 レジェンド・オブ・ウォー,2018,ロシア,アレクセイ・シドロフ,"[['勇敢'], ['かっこいい'], ['スペクタクル']]",『戦火のナージャ』などのニキータ・ミハルコフ監督が製作を務めた戦車アクション。ナチスドイツの捕虜収容所を舞台に、ソ連の捕虜兵たちがナチスに抵抗する姿を描く。『アトラクション 制圧』で共演したアレクサンドル・ペトロフとイリーナ・スタルシェンバウムらが出演。本物のソ連製戦車T-34を使用し、役者が自ら操縦した。,4.39
25,グラン・トリノ,2008,アメリカ,クリント・イーストウッド,"[['泣ける'], ['切ない'], ['勇敢']]", 『ミリオンダラー・ベイビー』以来、4年ぶりにクリント・イーストウッドが監督・主演を務めた人間ドラマ。朝鮮戦争従軍経験を持つ気難しい主人公が、近所に引っ越してきたアジア系移民一家との交流を通して、自身の偏見に直面し葛藤（かっとう）する姿を描く。イーストウッド演じる主人公と友情を育む少年タオにふんしたビー・ヴァン、彼の姉役のアニー・ハーなどほとんど無名の役者を起用。アメリカに暮らす少数民族を温かなまなざしで見つめた物語が胸を打つ。,4.38
26,ワンダー 君は太陽,2017,アメリカ,スティーヴン・チョボスキー,"[['泣ける'], ['楽しい'], ['かわいい']]",R・J・パラシオの児童小説を、『ウォールフラワー』などのスティーヴン・チョボスキーが映画化。外見からわかる先天性の障害がある少年が、困難に立ち向かう姿を描く。主人公に『ルーム』などのジェイコブ・トレンブレイ、彼を愛情深く支える両親を『エリン・ブロコビッチ』などのジュリア・ロバーツと『ミッドナイト・イン・パリ』などのオーウェン・ウィルソンが演じる。,4.38
27,リメンバー・ミー,2017,アメリカ,リー・アンクリッチ,"[['泣ける'], ['ファンタジー'], ['楽しい']]",1年に1度だけ他界した家族と再会できるとされる祝祭をテーマにした、ディズニー/ピクサーによる長編アニメ。死者の国に足を踏み入れた少年が、笑いと感動の冒険を繰り広げる。監督と製作には、『トイ・ストーリー3』のリー・アンクリッチ監督と、製作を担当したダーラ・K・アンダーソンが再び集結。テーマパークのような死者の国の描写、祖先や家族を尊ぶ物語に引き込まれる。,4.37
28,ニュー・シネマ・パラダイス,1989,"イタリア,フランス",ジュゼッペ・トルナトーレ,"[['泣ける'], ['切ない'], ['ロマンチック']]", イタリアの名匠ジュゼッペ・トルナトーレによる、映画史に残る至高の名作。イタリアのシチリアを舞台に、少年と映写技師が映画を通して心を通わせていく様を、感動的な音楽と繊細な人物描写で描き出す。映画に魅了された少年トト役を、サルヴァトーレ・カシオが愛くるしい演技で演じきった。年齢を超えた友情や少年時代の夢など、世代や時代を超えた人々に愛される物語に、“映画の魔法”という名の感動が存分につまっている。,4.37
29,ライフ・イズ・ビューティフル,1998,イタリア,ロベルト・ベニーニ,"[['泣ける'], ['切ない'], ['悲しい']]",　カンヌ映画祭で審査員グランプリに輝いた、ロベルト・ベニーニ監督・脚本・主演の感動作。ナチの強制収容所に収監されたある一家の物語を、ユーモラスかつ温かな視点で描く。“イタリアのチャップリン”と称される、ベニーニのユーモアと哀しみを交錯させた演出が秀逸。1939年、ユダヤ系イタリア人のグイドは、小学校の教師ドーラに恋をする。彼の純粋さに惹かれた彼女は結婚を承諾。やがて可愛い息子も生まれ、3人は幸せな日々を送っていた。そんなある時、彼らに突然強制収容所への収監命令が下る。,4.35
30,劇場版シティーハンター 〈新宿プライベート・アイズ〉,2019,日本,,"[['かっこいい'], ['楽しい'], ['笑える']]",裏社会屈指の始末屋と相棒たちの活躍を描いた北条司のコミックを原作に、アニメ化、実写映画化もされた「シティーハンター」の劇場版。神谷明、伊倉一恵をはじめオリジナルキャストが再結集し、現代の新宿を舞台に新たな戦いが繰り広げられる。新たに山寺宏一と大塚芳忠が加わり、女優・飯豊まりえとチュートリアルの徳井義実がゲスト声優として参加する。,4.35
31,ロッキー,1976,アメリカ,ジョン・G・アヴィルドセン,"[['かっこいい'], ['勇敢'], ['泣ける']]",　無敵の黒人ボクサー、アポロが人気取りのため、格下の相手と闘うことを宣言した。チャンピオンに挑戦するチャンスを与えることで、アメリカン・ドリームを体現しようというのだ。アポロのマネージャーたちは、選ばれたロッキーがサウスポーなのを気にかけ相手を変えるように忠告するがアポロは無視。かくして薄汚れた下町の中、ロッキーのトレーニングが始まる……。,4.35
32,その瞬間、僕は泣きたくなった－CINEMA FIGHTERS project－,2019,日本,三池崇史,"[['泣ける'], ['楽しい'], ['かっこいい']]",詩と音楽、映像を融合するプロジェクト「CINEMA FIGHTERS project」の第3弾。運命と奇跡が生み出した出会いを描く三池崇史監督と EXILE AKIRA の『Beautiful』のほか、井上博貴監督と佐藤大樹の『魔女に焦がれて』、松永大司監督と今市隆二の『On The Way』、洞内広樹監督と佐野玲於の『GHOSTING』、行定勲監督と小林直己の『海風』で構成される。楽曲を Crystal Kay、横井琉衣、今市、LISA、Leolaが担当した。,4.33
33,映画クレヨンしんちゃん　新婚旅行ハリケーン ～失われたひろし～,2019,日本,橋本昌和,"[['笑える'], ['楽しい'], ['泣ける']]",臼井儀人の漫画を基にした、映画版『クレヨンしんちゃん』シリーズの第27弾。新婚旅行でオーストラリアに来た野原一家が、思いがけないトラブルに巻き込まれる。『映画クレヨンしんちゃん オラの引越し物語 ~サボテン大襲撃~』などの橋本昌和が監督を務める。ボイスキャストは矢島晶子からバトンタッチした野原しんのすけ役の小林由美子をはじめ、ならはしみき、森川智之、こおろぎさとみら。ゲスト声優として木南晴夏、小島よしお、ぺこ、りゅうちぇるが参加した。,4.33
34,国家が破産する日,2018,韓国,チェ・グクヒ,"[['絶望的'], ['笑える']]",韓国を震撼(しんかん)させた1997年の通貨危機の裏側を暴いた、史実に基づくドラマ。史上最悪の通貨危機に立ち向かった人々を描く。キャストには『修羅の華』などのキム・ヘス、『バーニング 劇場版』などのユ・アイン、『おまえを逮捕する』などのホ・ジュノ、『モン・ロワ 愛を巡るそれぞれの理由』などのヴァンサン・カッセルらが集結。『パーフェクト・ボウル 運命を賭けたピン』などのチェ・グクヒがメガホンを取った。,4.33
35,シティーハンター THE MOVIE 史上最香のミッション,2018,フランス,フィリップ・ラショー,"[['コミカル'], ['楽しい'], ['笑える']]",北条司のコミックを『世界の果てまでヒャッハー!』などのフィリップ・ラショー監督がフランスで実写映画化。誰でもとりこにする香水をめぐる争奪戦を、アクションとユーモアを交えて映す。「シティーハンター」のファンだという監督が脚本・主演もこなし、ヒロインを『最高の花婿』などのエロディ・フォンタンが演じる。日本では山寺宏一、沢城みゆきらの吹替版で公開。,4.33
36,NO SMOKING,2019,日本,佐渡岳利,"[['笑える'], ['楽しい'], ['かっこいい']]",音楽家の細野晴臣に迫ったドキュメンタリー。幼少期の音楽との出会いから、はっぴいえんど、YMO(YELLOW MAGIC ORCHESTRA)、ソロ活動といった細野の歩んできた軌跡をたどる。さらに2018年から2019年にかけて開催されたライブの模様も映し出され、バンドメンバーのほか、音楽プロデューサーのヴァン・ダイク・パークス、小山田圭吾、YMOの坂本龍一と高橋幸宏らが出演している。,4.32
37,アラジン,2019,アメリカ,ガイ・リッチー,"[['楽しい'], ['ファンタジー'], ['笑える']]",アニメ『アラジン』を実写化したファンタジー。青年アラジンと王女ジャスミンの身分違いの恋と、魔法のランプに関わる冒険が描かれる。監督は『シャーロック・ホームズ』シリーズなどのガイ・リッチー。メナ・マスードがアラジン、『パワーレンジャー』などのナオミ・スコットがジャスミン、『メン・イン・ブラック』シリーズや『幸せのちから』などのウィル・スミスがランプの魔人を演じる。,4.31
38,きっと、うまくいく,2009,インド,ラージクマール・ヒラニ,"[['楽しい'], ['笑える'], ['泣ける']]", インドで製作された、真の友情や幸せな生き方や競争社会への風刺を描いたヒューマン・ストーリー。入学したインドのエリート大学で友人たちと青春を謳歌（おうか）していた主人公が突然姿を消した謎と理由を、10年という年月を交錯させながら解き明かしていく。主演は、ボリウッド映画の大スターであるアーミル・カーン。『ラ・ワン』のカリーナー・カプールがヒロインを務める。抱腹絶倒のユーモアとストレートな感動を味わうことができる。,4.31
39,最強のふたり,2011,フランス,エリック・トレダノ,"[['笑える'], ['楽しい'], ['泣ける']]", 車いすで生活している大富豪と介護者として雇われた黒人青年が垣根を越えて友情を結ぶ、実話を基にしたヒューマン・コメディー。年齢や環境、好みも異なる二人が、お互いを認め合い、変化していくプロセスを描いていく。監督は、本作が長編4作目となるエリック・トレダノとオリヴィエ・ナカシュのコンビ。主演は、『歌え！ ジャニス★ジョプリンのように』のフランソワ・クリュゼと『ミックマック』のオマール・シー。フランス本国のみならずヨーロッパで記録的なヒットを樹立した、笑いと感動に包まれた良質なコメディーを堪能できる。,4.31
40,WEEKEND ウィークエンド,2011,イギリス,アンドリュー・ヘイ,"[['切ない'], ['泣ける'], ['ロマンチック']]",『さざなみ』『荒野にて』などのアンドリュー・ヘイが監督を務めたラブストーリー。クラブで知り合った男性カップルの2日間を映し出す。『ALONE/アローン』などのトム・カレンのほか、クリス・ニューらが出演。強い影響を与え合った二人の濃密な時間が描かれる。,4.29
