タイトル,監督,原作,脚本,総合評価,泣ける,笑える,楽しい,悲しい,ファンタジー,スペクタクル,ゴージャス,ロマンチック,不思議,パニック,不気味,恐怖,勇敢,知的,絶望的,切ない,セクシー,かわいい,かっこいい,コミカル
マチネの終わりに,西谷弘,平野啓一郎,井上由美子,3.9,16.17161716172,0.0,0.0,8.74587458746,0.0,0.0,0.0,20.13201320132,0.0,0.0,0.0,0.0,0.0,8.41584158416,0.0,24.58745874587,0.0,0.0,6.60066006601,0.0
ジョーカー,トッド・フィリップス,,トッド・フィリップス,4.06,6.98238241474,0.0,0.0,14.38500080815,0.0,0.0,0.0,0.0,0.0,0.0,13.86778729594,11.62114110231,0.0,0.0,15.17698399871,12.84952319379,0.0,0.0,0.0,0.0
IT／イット THE END “それ”が見えたら、終わり。,アンディ・ムスキエティ,スティーヴン・キング,ゲイリー・ドーベルマン,3.3,0.0,8.76747141042,0.0,0.0,5.46378653113,0.0,0.0,0.0,0.0,7.75095298602,13.0876747141,13.3418043202,8.25921219822,0.0,0.0,0.0,0.0,0.0,0.0,0.0
閉鎖病棟―それぞれの朝―,平山秀幸,帚木蓬生,平山秀幸,3.55,20.98360655738,0.0,0.0,18.3606557377,0.0,0.0,0.0,0.0,0.0,0.0,3.93442622951,5.24590163934,0.0,0.0,10.49180327869,23.60655737705,0.0,0.0,0.0,0.0
イエスタデイ,ダニー・ボイル,,リチャード・カーティス,4.12,9.48406676783,14.87101669196,18.58877086495,0.0,10.01517450683,0.0,0.0,11.00151745068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3186646434
IT／イット “それ”が見えたら、終わり。,アンディ・ムスキエティ,スティーヴン・キング,チェイス・パーマー,3.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.70044709389,7.07898658718,14.64232488823,15.61102831595,11.25186289121,0.0,5.47690014903,0.0,0.0,0.0,0.0,0.0
マレフィセント2,ヨアヒム・ローニング,,リンダ・ウールヴァートン,3.8,8.23373173971,0.0,7.30411686587,0.0,18.32669322709,0.0,6.90571049137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.90571049137,7.30411686587,0.0
ジェミニマン,アン・リー,,デヴィッド・ベニオフ,3.44,0.0,0.0,9.23913043478,0.0,0.0,10.05434782609,0.0,0.0,5.70652173913,0.0,0.0,0.0,16.84782608696,0.0,0.0,7.0652173913,0.0,0.0,23.36956521739,0.0
世界から希望が消えたなら。,赤羽博,,大川咲也加,2.46,21.65991902834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.94331983806,0.0,0.0,0.0,14.77732793522,11.94331983806,0.0,8.90688259109,0.0,0.0,10.93117408907,0.0
空の青さを知る人よ,長井龍雪,超平和バスターズ,岡田麿里,4.01,15.06849315068,7.07762557078,9.01826484018,0.0,13.12785388128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.72602739726,0.0,8.44748858447,0.0,0.0
