title,synopsis,score,泣ける,笑える,楽しい,悲しい,ファンタジー,スペクタクル,ゴージャス,ロマンチック,不思議,パニック,不気味,恐怖,勇敢,知的,絶望的,切ない,セクシー,かわいい,かっこいい,コミカル
50回目のファーストキス,2004年製作のアダム・サンドラー、ドリュー・バリモア共演作『50回目のファースト・キス』を原案としたラブストーリー。新たな記憶を一夜で失ってしまう美女と、彼女に心奪われて何回もアプローチする青年の姿を描く。メガホンを取るのは『銀魂』などの福田雄一。ドラマシリーズ「勇者ヨシヒコと魔王の城」などで福田監督と組んできた山田孝之、『散歩する侵略者』などの長澤まさみが、主人公の男女を演じる。,3.76,12.303881090010002,18.57968620974,14.368290668870001,0.0,0.0,0.0,0.0,11.560693641619999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.66143682907,0.0,0.0,0.0,10.73492981007
8番目の男,韓国で2008年に導入された国民参与裁判制度をテーマにした法廷サスペンス。メガホンを取ったホン・スンワン監督は、複数の判事と直接会うなど綿密なリサーチを重ね、類似した事件や裁判の判決文を参考に脚本を執筆した。 陪審員の一人をドラマ「SUITS/スーツ」などのパク・ヒョンシク、裁判官を『オアシス』などのムン・ソリが演じる。,3.67,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
CLIMAX クライマックス,『エンター・ザ・ボイド』『LOVE【3D】』などのギャスパー・ノエがメガホンを取った異色作。ドラッグの入った酒を飲んだダンサーたちがトランス状態に陥る。『キングスマン』などのソフィア・ブテラらが出演し、プロのダンサーたちが共演した。ダフト・パンクやザ・ローリング・ストーンズの楽曲が使用されている。,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.51351351351,10.81081081081,18.918918918920003,0.0,0.0,18.918918918920003,0.0,13.51351351351,0.0,10.81081081081,0.0
HELLO WORLD,『ソードアート・オンライン』シリーズなどの伊藤智彦が監督を務めたSFロマンス。未来で結ばれる相手が事故死すると聞かされた男子高校生が、その運命を変えようとする。ボイスキャストは『君は月夜に光り輝く』などの北村匠海、『孤狼の血』などの松坂桃李、『賭ケグルイ』シリーズなどの浜辺美波のほか福原遥、寿美菜子、釘宮理恵、子安武人ら。主題歌をOKAMOTO'S、Official髭男dism、Nulbarichが担当している。,3.52,8.11380400421,0.0,0.0,0.0,13.80400421496,7.903055848260001,0.0,8.53530031612,8.95679662803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.53530031612,0.0,0.0
HiGH&LOW THE WORST,『HiGH&LOW』シリーズと人気コミック「クローズ」「WORST」がクロスオーバーしたアクション。『HiGH&LOW』シリーズのSWORD地区と「クローズ」「WORST」の戸亜留市を舞台に、猛者たちが激闘を繰り広げる。『HiGH&LOW』シリーズを手掛けてきた久保茂昭が監督を務め、川村壱馬、吉野北人ら THE RAMPAGE from EXILE TRIBE のメンバーをはじめ前田公輝、山田裕貴らが出演。「クローズ」「WORST」の原作者・高橋ヒロシが脚本に参加した。,3.82,10.745614035089998,12.5,16.88596491228,0.0,0.0,0.0,4.82456140351,0.0,0.0,0.0,0.0,0.0,12.280701754389998,0.0,0.0,0.0,0.0,0.0,20.61403508772,0.0
IT／イット,　S・キング原作によるTVムービーで、“IT”と呼ばれる何者かに付け狙われ恐怖に陥れられた男女数名の物語を、幼年期の前編と、約束の時を迎え再び再会した大人期の後編により構成。同じくキング原作の「スタンド・バイ・ミー」を彷彿させるようなストーリーとなっている。,3.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.29370629371,6.64335664336,19.93006993007,19.93006993007,10.139860139860001,0.0,6.29370629371,0.0,0.0,0.0,0.0,0.0
IT／イット THE END “それ”が見えたら、終わり。,作家スティーヴン・キングの原作を実写化したホラー『IT/イット “それ”が見えたら、終わり。』の続編。前作から27年後を舞台に、子供の命ばかりを狙うペニーワイズから逃げ延びた面々が新たな戦いを余儀なくされる。『MAMA』などのアンディ・ムスキエティ監督が続投するほか、ドラマシリーズ「ヘムロック・グローヴ」などのビル・スカルスガルドが再びペニーワイズを演じる。27年後のビルとベバリーに、『スプリット』などのジェームズ・マカヴォイ、『ゼロ・ダーク・サーティ』などのジェシカ・チャステインがふんした。,3.31,0.0,8.767471410419999,0.0,0.0,5.46378653113,0.0,0.0,0.0,0.0,7.75095298602,13.0876747141,13.3418043202,8.25921219822,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT／イット “それ”が見えたら、終わり。,1990年に映像化されたスティーヴン・キングのホラー小説を、『MAMA』で注目を浴びたアンディ・ムスキエティ監督が映画化。静かな田舎町に突如現れた正体不明の存在が、人々を恐怖に陥れるさまが描かれる。『ヴィンセントが教えてくれたこと』などのジェイデン・リーバハー、『シンプル・シモン』などのビル・スカルスガルドをはじめ、フィン・ウォルフハード、ソフィア・リリスらが出演。,3.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.70044709389,7.07898658718,14.64232488823,15.61102831595,11.251862891210001,0.0,5.4769001490299996,0.0,0.0,0.0,0.0,0.0
LIFE！/ライフ,凡庸で空想癖のある主人公が未知なる土地への旅を経て変化していくさまを、ベン・スティラー監督・主演で描くヒューマンドラマ。夢を諦め、写真雑誌の写真管理部で働く地味な中年男性が、ひょんなことからニューヨークをたち世界中を巡る旅を繰り広げる様子をファンタジックに映し出す。物語の鍵を握るカメラマン役で『ミルク』などのショーン・ペン、主人公の母親役で『愛と追憶の日々』などのシャーリー・マクレーンが共演。壮大なビジュアルや、主人公のたどる奇跡のような旅と人生に目頭が熱くなる。,3.82,0.0,12.439222042139999,15.59967585089,0.0,8.630470016210001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.08914100486,0.0,0.0,0.0,0.0,0.0,9.643435980549999,8.50891410049
NO SMOKING,音楽家の細野晴臣に迫ったドキュメンタリー。幼少期の音楽との出会いから、はっぴいえんど、YMO(YELLOW MAGIC ORCHESTRA)、ソロ活動といった細野の歩んできた軌跡をたどる。さらに2018年から2019年にかけて開催されたライブの模様も映し出され、バンドメンバーのほか、音楽プロデューサーのヴァン・ダイク・パークス、小山田圭吾、YMOの坂本龍一と高橋幸宏らが出演している。,4.32,0.0,14.28571428571,28.571428571429998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.28571428571,0.0,0.0,0.0,0.0,28.571428571429998,0.0
